"_","Id","LearningCourse","LearningCourse.Name","LearningCourse.Description","LearningCourse.CourseLearningOutcomes__c","LearningCourse.CourseCode__c","LearningCourse.ParentProvider__c","AcademicSession","AcademicSession.Name"
"[CourseOffering]","0P0Vg00000002ThKAI","[LearningCourse]","Intro to Mass Communication","","Upon successful completion of this course, students will be able to: –; –; –; –; –; –.","COM200","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TiKAI","[LearningCourse]","Public Relations & the Media","","Upon successful completion of this course, students will be able to: –; –; –; –; –; –.","COM302","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TjKAI","[LearningCourse]","Visual Culture","","Upon successful completion of this course, students will be able to: –; –; –; –; –; –.","COM260","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TkKAI","[LearningCourse]","Introduction to Macroeconomics","As an introduction to macroeconomic theory, this course employs standard macroeconomic approaches and looks
at the economy as a whole to gain an understanding of how it works. The course introduces the main
macroeconomics concepts and topics: GDP, economic growth, national income, unemployment, inflation, the role
of government, fiscal policy, the role of central banks and monetary policy, international monetary arrangements,
bubbles and crashes. Students will learn why some countries are rich while others are not, what causes
unemployment or what the effects of inflation are. In addition, the course includes research concerning capitalist
economies since the recent world-wide economic crash.","<p>Upon completion of this course, students will be able to:</p><ul><li>Discuss and analyse macroeconomic events using standard economic concepts such as demand and supply;</li><li>Connect fluctuations in inflation, unemployment and economic growth;</li><li>Understand the goals, tools and limitations of fiscal and monetary policies;</li><li>Understand the basic working of financial markets;</li><li>Realize the international linkages between economies;</li><li>Realize the existence of different historical schools of economic thought and the differences between them;</li><li>Understand the main macroeconomic statistics, be able to work with the data and produce simple macroeconomic analyses.</li></ul>","ECO110","School of Business","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TlKAI","[LearningCourse]","Editing and Ethics in an Age of Instant News","","Upon successful completion of this course, students will be able to: –; –; –; –; –; –.","JRN385","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TmKAI","[LearningCourse]","Intercultural Communication","Intercultural Communication (ICC) is an intermediate course which examines the intersection of language,
communication, community and culture. It presents differing perspectives on issues central to ICC and explores
cultural and linguistic diversity and contact, and language endangerment. It examines the formation of identity,
such as gender, status and ethnicity, and culture through language.","<p>Upon completion of this course, students will be able to:</p><ul><li>Comprehended the concepts of communication, culture and language from diverse theoretical perspectives;</li><li>Studied their interconnection and application in various linguistic cultures;</li><li>Analyzed key readings on ICC;</li><li>Understood the implications effects of language contact;</li><li>Explored, questioned and compared communicative strategies and language rituals across cultures;</li><li>Assessed factors complicating intercultural communication; i.e., ethnicity, privilege, equality, social inclusion and exclusion, migration and globalization;</li><li>Collected and evaluated data in order to explore issues and topics in ICC first-hand;</li><li>Presented a research thesis which examines and explains an ICC issue and proposes a resolution;</li><li>Written a research paper.</li></ul>","COM201","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TnKAI","[LearningCourse]","Politics I","This course aims to teach the process and structure of political systems, states and governments from a comparative
perspective. Starting from political ideologies, regimes and state institutions, we will move toward the relationship
between the citizen and the state (voting, organization of parties, interest groups). Drawing from comparative case
studies, it is hoped that students will learn to think analytically about how politics function in a variety of settings
and come to appreciate different ways to understand it. Towards this goal, classes will aim to both provide
important background to the topics each week as well as to allow time for discussion of the readings.","<p>Upon completion of this course, students will be able to:</p><ul><li>Understand the basic concepts, structures and theories used in comparative politics;</li><li>Know the ways governments operate, are elected and formed in democratic and autocratic systems;</li><li>Know the role of media and political movements and interest groups in the realm of politics, campaigns and policy formation;</li><li>Critically apply the theoretical concepts onto various data sets within case studies and present their views in an oral presentation or a written essay.</li></ul>","POS101","School of International Relations and Diplomacy","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002ToKAI","[LearningCourse]","International Journalism","This course introduces students to the history and current practice of international journalism. Students use classic
as well as contemporary examples of international reporting as models for their own writing assignments.","<p>Upon completion of this course, students will be able to:</p><ul><li>Identify and use international reporting and literary journalism techniques;</li><li>Place current international and literary journalism into historical context;</li><li>Write literary journalism based on their own experiences in cultures foreign to their own.</li></ul>","JRN323","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TpKAI","[LearningCourse]","European Union: Policies and Current Issues","The aim of the course is to provide a solid understanding of the EU institutions, decision-making and key policies
in the light of main theories used in the EU studies. The course builds upon the EU integration history course and
it is divided into two parts. First – introductory part reviews milestones and logic of the EU integration; examines
main integration theories and explores the EU institutions and formal as well as informal decision-making process
and its shortcomings. Second part is devoted to the key EU policies including trade, agriculture, monetary policy,
foreign policy and defense. All individual topics will be supplemented with concrete case studies analyzing major
current problems and trends such as Eurocrsis, Brexit, migration crisis, Euroscepticism and extremism, energy
security, etc.","<p>Upon completion of this course, students will be able to:</p><ul><li>Assess the process of the EU integration in the light of main theories used in EU studies;</li><li>Understand the EU institutional processes and their impact on European, as well as non-European states and citizens;</li><li>Critically analyze the EU’s key policies and their internal and external impact;</li><li>Understand main political processes and major trends in the EU;</li><li>Provide possible solutions of present problems concerning the EU;</li><li>Contribute effectively to the larger public conversation about the role and future development of the EU;</li><li>Demonstrate effective writing and presentation skills.</li></ul>","IRS301","School of International Relations and Diplomacy","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TqKAI","[LearningCourse]","Thesis","This course is individually directed, i.e., the student works individually with an advisor who is a specialist in their
chosen area. Throughout the course, the advisor orients the student toward relevant literature and resources, gives
detailed and systematic guidance on theory and its application, as well as on logical reasoning and the structure
and composition of the thesis. The goal of the course is for students to produce a Bachelors’ thesis of high academic
quality on a topic related to their major area of study. The thesis is a synthesis of relevant source research,
knowledge acquired throughout the BA course of study, as well as a development of the thesis proposal produced
in the Thesis Seminar course.","<p>Upon completion of this course, students will be able to:</p><ul><li>Clearly define a research (strategic) question / thesis statement, and answer it / make a central claim;</li><li>Critically review current research / literature on the subject matter;</li><li>Apply theoretical knowledge, and use empirical analysis when appropriate;</li><li>Identify assumptions and implications of a chosen analytical approach;</li><li>Develop a conceptually clear, coherent, critical and evaluative academic analysis;</li><li>Support arguments with sufficient, relevant and credible evidence, and proper reference to sources;</li><li>Demonstrate independent, logical, objective and balanced thought;</li><li>Clearly and coherently communicate claims and findings in appropriate academic writing;</li><li>Employ accurate academic citation format for all sources.</li></ul>","JRN395","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TrKAI","[LearningCourse]","Media & the War on Terror","This course is designed to introduce students to the field of media studies through a broad approach that utilizes
critical methodologies from various disciplines, including literature, history, political science, philosophy, and film
studies. The course will focus on the topic of the “War on Terror,” which reveals itself as an especially interesting
media event during a pivotal phase of media development that witnessed the rise of the Internet and the spread of
social media. Students will consider both secondary source analyses (articles, essays) and primary sources such as
literature, art, and film.","<p>Upon completion of this course, students will be able to:</p><ul><li>Demonstrate a basic understanding of the historical events and context of the “War on Terror” ;</li><li>Evaluate the relationship between mainstream and independent media and the war;</li><li>Critique the construction of the narrative of the war and issues of narrative and rhetoric in general;</li><li>Assess the relationship between the “War on Terror” and the rise of the political Internet;</li><li>Apply/critique the notion of media spectacle to specific events and people related to the War on terror;</li><li>Conduct independent research on one of the course topics;</li><li>Express well-reasoned arguments orally and in written form.</li></ul>","FMS310","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TsKAI","[LearningCourse]","Anthropology of Religion","The course is aimed to provide a general overview of the vast field of Anthropology of Religion. The students will
be exposed to the diverse approaches, concepts and theories regarding the notion of religion. Specifically, we will
explore the relationship between culture, society, individual and religion to build toward a general understanding
of religion.","<p>Upon completion of this course, students will be able to:</p><ul><li>Gain clear understanding of various religious practices and how to place these into proper context;</li><li>Offer a critical perspective on what is involved in studying religions through focusing on specific theories and approaches represented by anthropology of religion;</li><li>Demonstrate a sound knowledge of key ethnographies in the anthropology of religion, thereby exhibiting their understanding of religious beliefs and practices of smaller scale societies thus being able to identify and investigate the intersections between religion, culture and society;</li><li>Gain experience in basic academic research and writing appropriate to the undergraduate level.</li></ul>","SOC255","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TtKAI","[LearningCourse]","Political Economy","This course examines the relationship between politics and economics in modern and contemporary societies,
focusing on major issues of both domestic and international policy. Adopting a sound historical perspective, it
analyses the role of the government and/or power relations in allocating economic resources in different economic
systems (liberal-capitalist, socialist, Marxist, or mixed), the impact of economic relations in international relations
as well as the use of economic models in generating change in different societies. After a study of the different
scholarly perspectives on political economy, students may also study planning and problem solving, environmental
issues, resource distribution, and the challenges of institutional adaptation, and changing political systems as in
the cases of Central and Eastern European countries","<p>Upon completion of this course, students will be able to:</p><ul><li>Have a clear understanding of the classical, Marxist, Keynesian, Neoliberal perspectives of political economy;</li><li>Understand the moral and political underpinnings of wealth generation and distribution as well as their environmental impact;</li><li>Lend perspective to the increasing role of political economy in national, regional and global contexts;</li><li>Clearly identify and analyze the contemporary predominance of neoliberalism and its interactions with other political economic perspectives in national and regional contexts as well as globally.</li></ul>","POS230","School of International Relations and Diplomacy","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TuKAI","[LearningCourse]","Environment and Society","","Upon successful completion of this course, students will be able to: –; –; –; –; –; –.","ENV400","School of Business","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TvKAI","[LearningCourse]","Contemporary Europe: History of European Integration","This course is designed for students of political science, international relations and humanities who want to gaina
deeper knowledge of the European Union and its integration processes. It will offer the students a comprehensive
overview of European integration history, European Union institutions, documents and historical decisions which
continue to shape events in present day policy-making. Throughout the semester, step by step, we will learn about
the post WWII context in which European integration took root, the early Communities and the reasons behind
their inception, early years of integration and the crises they faced when great political personalities such as Charles
de Gaulle or Margaret Thatcher clashed with ideas of supranational governance.
We will cover the transformation of economic communities into a political and even a normative project in the
post-Cold War era and debate the challenges that await the European Union in the wake of the financial crisis of
2008. This of course does not exclude student participation throughout the course, whether in form of team
presentations or in-class work with period documents and discussion of their relevance.","<p>Upon completion of this course, students will be able to:</p><ul><li>Have a strong foundation for future studies of European issues;</li><li>List the milestones of European integration and based on this knowledge they should be able to explain the specific nature of the European Union integration process;</li><li>Comprehend the European Union institutional structure and understand the specific roles EU institutions play in EU decision-making processes;</li><li>Understand the current discussions of the European crisis in wider politico-historical context.</li></ul>","IRS221","School of International Relations and Diplomacy","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TwKAI","[LearningCourse]","Social Science Research Methods","","<p>Upon completion of this course, students will be able to:</p><ul><li>Comprehend and have a clear understanding of different epistemological positions in conducting research;</li><li>Grasp and apply the uses of theory in qualitative research;</li><li>Understand and demonstrate the link between a research question, research methods and sources;</li><li>Write methodologically sound qualitative research designs and criticize the methods used in other social science research projects;</li><li>Demonstrate the ability to conduct basic academic research and analytical writing with the usage of proper citations, appropriate to the undergraduate level and experience for introductory level of data collection on social phenomena.</li></ul>","POS240","School of International Relations and Diplomacy","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TxKAI","[LearningCourse]","Democratization and Survival of Autocrats","","","POS360","School of International Relations and Diplomacy","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TyKAI","[LearningCourse]","Advanced Seminar on Corruption","","Upon successful completion of this course, students will be able to: –; –; –; –; –; –.","POL339","School of International Relations and Diplomacy","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002TzKAI","[LearningCourse]","Political Geography","","Upon successful completion of this course, students will be able to: –; –; –; –; –; –.","POL250","School of International Relations and Diplomacy","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002U0KAI","[LearningCourse]","Form, Art & the Environment","","Upon successful completion of this course, students will be able to: –; –; –; –; –; –.","ART332","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002U1KAI","[LearningCourse]","Thesis","This course is individually directed, i.e., the student works individually with an advisor who is a specialist in their
chosen area. Throughout the course, the advisor orients the student toward relevant literature and resources, gives
detailed and systematic guidance on theory and its application, as well as on logical reasoning and the structure
and composition of the thesis.
The goal of the course is for students to produce a Bachelors’ thesis of high academic quality on a topic related to
their major area of study. The thesis is a synthesis of relevant source research, knowledge acquired throughout the
BA course of study, as well as a development of the thesis proposal produced in the Thesis Seminar course.","<p>Upon completion of this course, students will be able to:</p><ul><li>Clearly define a research (strategic) question / thesis statement, and answer it / make a central claim;</li><li>Critically review current research / literature on the subject matter;</li><li>Apply theoretical knowledge, and use empirical analysis when appropriate;</li><li>Identify assumptions and implications of a chosen analytical approach;</li><li>Develop a conceptually clear, coherent, critical and evaluative academic analysis;</li><li>Support arguments with sufficient, relevant and credible evidence, and proper reference to sources;</li><li>Demonstrate independent, logical, objective and balanced thought;</li><li>Clearly and coherently communicate claims and findings in appropriate academic writing;</li><li>Employ accurate academic citation format for all sources.</li></ul>","HSS390","School of Business","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002U2KAI","[LearningCourse]","Media and Marketing Communication","","Upon successful completion of this course, students will be able to: –; –; –; –; –; –.","MKT250","School of Business","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002U3KAI","[LearningCourse]","Introduction to Microeconomics","A basic introduction to microeconomic theory. This course explores those theories that explain in detail how an
economy works. It introduces supply and demand, the firm, price theory, production and cost, with an application
of these and other relevant theories to problems in the market economy. In this course, we will study different
types of market structure, different kinds of firms’ reaction to customers’ demand and competitors’ strategy and
government interventions. Special attention will be devoted to game theory and strategic interactions. All the
concepts will be applied to real life examples.","<p>Upon completion of this course, students will be able to:</p><ul><li>Have a clear understanding of the necessary terminology as consumer, producer, market, prices, regulations, taxes, externalities etc.;</li><li>Comprehend the basic concepts of economic thinking such as benefits, costs, market interactions, consumption, production, competition, demand, supply;</li><li>Understand and analyze simple models describing the market environment and the behavior of its agents, for example demand and supply diagram (in all basic market models as perfect competition, monopoly etc.), production possibility frontier and strategic interactions (games);</li><li>Place the studied concepts in the context of real-life situations, analyze social interactions and phenomena by application of above-mentioned tools;</li><li>Understand effects of microeconomic policies on the market outcomes, including welfare considerations.</li></ul>","ECO120","School of Business","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002U4KAI","[LearningCourse]","Introduction to Business Law","","<p>Upon completion of this course, students will be able to:</p><ul><li>Comprehend and have a clear understanding of the law and its functions, basic legal concepts, legal systems and legal disciplines with a business impact, and this within the Common law tradition as well as Continental (civil law) tradition and distinguish between various approaches based on cultural, economic and political contexts;</li><li>Understand and analyze critical challenges and issues related to the law per se as well as legal systems and legal disciplines;</li><li>Place in context and lend perspective to the acquired knowledge and skills, enhance awareness about critical issues, to improve capacity to identify the most important aspects, and to provide basic evaluation skills;</li><li>Exhibit an enhanced awareness and demonstrate a strong foundation to make educated decisions in the business field;</li><li>Identify the risks and solve problems associated with business/commerce, to make educated decisions and to develop strategies for ensuring favorable law regime, jurisdiction and resolution of disputes.</li></ul>","LBS210","School of Business","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002U5KAI","[LearningCourse]","Ethical Dilemmas in Digital World","The course explores the relationship between human actions, technology, and moral and ethical norms of society
as well as individuals. It considers civic and professional ethics, business needs in context of organizations and
stakeholders and the way technology takes over many roles previously performed by humans. Ethical dilemmas
are reviewed using well known ethics theories.","<p>Upon completion of this course, students will be able to:</p><ul><li>Identify and evaluate ethical issues technology bring to society;</li><li>Understand the role and responsibility of IT professionals in dealing with ethical dilemmas;</li><li>Recognize potential ethical dilemmas related to organizational business strategy and provide recommendations;</li><li>Address current issues related to privacy, censorship and freedom of expression in relation to ethical dilemmas;</li><li>Understand the concepts of cybercrime and cyber security as threats to society.</li></ul>","MGT302","School of Business","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002U6KAI","[LearningCourse]","Decision Making","You and I make many decisions each day, some of them unconsciously and some with deliberation. We make
decisions about how to use our time, what to prioritize, what to do about interpersonal conflicts, and where to go
for lunch. We also make decisions with farther-reaching consequences like our next career move, who we want to
date, and about the lifestyle we want to pursue. Social scientists study how people make these kinds of decisions
and which processes produce the best results, the most happiness, and greatest good. There is much to be gained
by examining and applying the science and ancient wisdom of decision-making in our own lives.
This course is an exploration of making every day and long-term decisions through the lens of social science. We
will examine why people make the decisions they do and practical, research-based ways to make better decisions
personally and professionally. Topics will include cognitive biases in decision making, moral psychology of
choice, creative problem-solving, insights from behavioral economics, the role of values/spirituality, leadership
ethics, and group decision-making. The overall goals will be both to understand the dynamics involved in making
decisions and to construct a framework by which students can make good decisions that can lead to theirs and
others well-bring, success, and greater meaning in work and life.","<p>Upon completion of this course, students will be able to:</p><ul><li>Apply a research-based framework to a longer-term decision the student is currently making;</li><li>Analyze the role of personality and cognitive bias in the choices one makes;</li><li>Practice a process of creative problem-solving to widen one’s options;</li><li>Assist another student in applying the principles of good decision-making to their lives;</li><li>Assess the role of assumptions and framing in a decision-making process;</li><li>Formulate an ethical framework for making character-based decisions;</li><li>Construct a research-based guide for overcoming a chosen psychological barrier to/facilitator of good decision making;</li><li>Diagnose the challenges to group problem solving in an organizational context.</li></ul>","PSY285","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002U7KAI","[LearningCourse]","International Marketing","This intermediate course provides a comprehensive up-to-date theoretical and practical understanding of the
differences between, and challenges of, successfully doing business internationally as compared with the domestic
market. A basic understanding of business, marketing, and market research concepts, strategies, and tactics, as
well as terminology is, therefore, assumed. The framework of the course is built upon marketing principles and
applying them in international markets – including multi-cultural environments in different countries. The course
includes a review of the international environment in terms of political, economic, socio-cultural and income
differences and different buying habits to provide the context for the necessary analysis and decision-making. The
course methodology combines studying the theory and practice of international marketing with real-life examples
of success and failure in international consumer and business markets. Throughout the course there are practical
exercises to evaluate the student’s understanding of how organizations can develop and implement an effective
international marketing strategy and gain a competitive advantage. A final team project, which is developed by
the students throughout the course, will be presented at the end of the course to demonstrate the student’s mastery
of the topics studied.","<p>Upon completion of this course, students will be able to:</p><ul><li>Describe the theories and concepts underlying international marketing;</li><li>Demonstrate the ability to apply international marketing theory and concepts to what marketers are doing in the real world;</li><li>Comprehend and have a clear understanding of the challenges of marketing in international markets;</li><li>Demonstrate the ability to use up-to-date international marketing strategies;</li><li>Describe the key differences in the management of international marketing versus domestic marketing;</li><li>Formulate a conceptual framework for assessing international markets and environments for business opportunities, challenges and risks;</li><li>Demonstrate the ability to understand and apply different marketing techniques and tools in international environments with different cultures;</li><li>Explain the main business models used by international marketers.</li></ul>","MKT318","School of Business","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002U8KAI","[LearningCourse]","French I","The approach adopted here, generally speaking, is an action-oriented one, based on the development of the 4 skills
(listening, reading, speaking, writing) together with thorough and in depth learning of the language. Students will
learn the basics of French language based on the study of oral and written documents. These documents will
emphasise specific grammar, vocabulary, phonetics…so that students can conceptualise the way language works.
Culture and civilisation will also be part of the course. For instance students will have an overview of French
towns and cities, and will get to know when to use &#39;Tu vs Vous&#39;.
The course aims at delivering an all-round practical knowledge of grammar, skills, vocabulary and real-life
functional language.","Upon successful completion of this course, students will be able to: –; –; –; –; –; –.","FRE100","School of International Relations and Diplomacy","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002U9KAI","[LearningCourse]","Leadership and the Self","Leadership is personal because it engages our values, involves trust, and instills identity. The notion of the self and its connection to the practice of leadership goes at least as far back at Plato’s Republic. Modern psychology in the 20th Century began to take up traditionally philosophical inquiry into personal authenticity and through the positive psychology movement deepened the knowledge base in the connection between self-awareness, influence, and organizational performance. This course explores the connection between knowledge of the self and leadership effectiveness. Many recent studies have established the connection between leader self-awareness and relational competencies such as teamwork, goal-performance and communication. We will explore themes such as self-disclosure, trust, power, self-regulation, and emotional intelligence in terms of the relationship to an effective leadership process. Students will use psychological assessments and tools to understand themselves and their leadership strengths and weaknesses.","<p>Upon completion of this course, students will be able to:</p><ul><li>Explain key psychological concepts related to fostering good leadership;</li><li>Describe the reciprocal relationship between the internal and the external dimensions of leadership;</li><li>Synthesize the relationship between an area of psychological inquiry (e.g. narcissism) in terms of its relationship to the leadership process;</li><li>Analyze their own personality and internal defense mechanisms that come into play when attempting to influence others toward a common pursuit;</li><li>Articulate their own leadership philosophy—including their personal commitments and habits that flow from it.</li></ul>","PSY275","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002UCKAY","[LearningCourse]","World History II","This course is primarily an overview of World History from approximately 1500 to 2000. The first few weeks
focus on the pre-industrial world, including the Age of Exploration, the Islamic Empires, Early Modern China and
Japan, and the development of the early American colonies and the Atlantic Slave Trade. A key turning point in
the class is the Industrial Revolution (week 5), which drew a sharp line between industrial and pre-industrial
regions, which often (but not always) corresponded to “western” and “non-western.” The reminder of the course
looks at how individuals in pre-industrial societies quickly adapted to the new, often brutal, but sometimes
liberating situation. This will include topics such as the two world wars, the international appeal of the
“communist” model, and the vexing problems of decolonization.
Modern World History is a vast subject, so instead of discussing every detail, the course emphasizes selected
themes of universal significance. One of the aims of this course is to restore balance to educational systems that
have traditionally emphasized the history of “western civilization” and largely ignored other regions. However,
“the west” is also part of the world, and in the modern era it has been especially influential (through imperialism,
for example). At the time of Christopher Columbus, it is possible to argue that the great world civilizations were
roughly “equal” in economic, intellectual, and political sophistication. So where did notions of “western
superiority” (often expressed in terms of “race”) come from? What made the rapid subjugation of pre-industrial
peoples possible in the nineteenth-century? How did people around the world respond to this rapid political,
economic, and cultural subjugation? Although there was plenty of antagonism in modern World History, this
course emphasizes cultural negotiation, continual change and adaptation, syncretism, and advantageous
borrowing. Rather than presuming a simple “oppression” and “victimization” scheme (although there were a lot
of victims!), this course looks at how rapidly and skilfully people around the world learned the technologies,
languages, and ideologies of a new age, despite horrific and unfair conditions. “Race” proved no barrier to the
creation of a modern, global, industrial culture.
Instead of “exotic” differences (which there sometimes were), this course emphasizes unifying similarities and
shared global cultures. It emphasizes, for example, shared beliefs about religion and magic, the global culture of
the Industrial Revolution, the nearly universal appeal of nationalism, the various versions of “communism” and
its world-wide appeal, and finally, the global appeal of racial ideology.","<p>Upon completion of this course, students will be able to:</p><ul><li>Develop at least a basic reserve of specific data about World History in order to have an informed and educated conversation about it, and to have a better sense of how to find and use such information when needed;</li><li>Be capable of recognizing, understanding, and critically analysing areas of disagreement and uncertainty in World History, and knowing what some of the major controversies are, not only recognize key areas of dispute about World History, but also understand, at least on a basic level, how historical arguments are made and how historical evidence is evaluated and used;</li><li>Recognize and appreciate the significance of constant change in World History (in religious beliefs, philosophical beliefs, political organisation, political geography, economic surroundings, demographics, and group identity);</li><li>Critically analyse traditional notions of cultural superiority and inferiority, understand their connection to modern ideas such as “race” and industrial development, and develop a broader and global understanding of culture and civilization.</li></ul>","HIS104","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002UDKAY","[LearningCourse]","World History II","This course is primarily an overview of World History from approximately 1500 to 2000. The first few weeks
focus on the pre-industrial world, including the Age of Exploration, the Islamic Empires, Early Modern China and
Japan, and the development of the early American colonies and the Atlantic Slave Trade. A key turning point in
the class is the Industrial Revolution (week 5), which drew a sharp line between industrial and pre-industrial
regions, which often (but not always) corresponded to “western” and “non-western.” The reminder of the course
looks at how individuals in pre-industrial societies quickly adapted to the new, often brutal, but sometimes
liberating situation. This will include topics such as the two world wars, the international appeal of the
“communist” model, and the vexing problems of decolonization.
Modern World History is a vast subject, so instead of discussing every detail, the course emphasizes selected
themes of universal significance. One of the aims of this course is to restore balance to educational systems that
have traditionally emphasized the history of “western civilization” and largely ignored other regions. However,
“the west” is also part of the world, and in the modern era it has been especially influential (through imperialism,
for example). At the time of Christopher Columbus, it is possible to argue that the great world civilizations were
roughly “equal” in economic, intellectual, and political sophistication. So where did notions of “western
superiority” (often expressed in terms of “race”) come from? What made the rapid subjugation of pre-industrial
peoples possible in the nineteenth-century? How did people around the world respond to this rapid political,
economic, and cultural subjugation? Although there was plenty of antagonism in modern World History, this
course emphasizes cultural negotiation, continual change and adaptation, syncretism, and advantageous
borrowing. Rather than presuming a simple “oppression” and “victimization” scheme (although there were a lot
of victims!), this course looks at how rapidly and skilfully people around the world learned the technologies,
languages, and ideologies of a new age, despite horrific and unfair conditions. “Race” proved no barrier to the
creation of a modern, global, industrial culture.
Instead of “exotic” differences (which there sometimes were), this course emphasizes unifying similarities and
shared global cultures. It emphasizes, for example, shared beliefs about religion and magic, the global culture of
the Industrial Revolution, the nearly universal appeal of nationalism, the various versions of “communism” and
its world-wide appeal, and finally, the global appeal of racial ideology.","<p>Upon completion of this course, students will be able to:</p><ul><li>Develop at least a basic reserve of specific data about World History in order to have an informed and educated conversation about it, and to have a better sense of how to find and use such information when needed;</li><li>Be capable of recognizing, understanding, and critically analysing areas of disagreement and uncertainty in World History, and knowing what some of the major controversies are, not only recognize key areas of dispute about World History, but also understand, at least on a basic level, how historical arguments are made and how historical evidence is evaluated and used;</li><li>Recognize and appreciate the significance of constant change in World History (in religious beliefs, philosophical beliefs, political organisation, political geography, economic surroundings, demographics, and group identity);</li><li>Critically analyse traditional notions of cultural superiority and inferiority, understand their connection to modern ideas such as “race” and industrial development, and develop a broader and global understanding of culture and civilization.</li></ul>","HIS104","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
"[CourseOffering]","0P0Vg00000002UEKAY","[LearningCourse]","European History II: The Making of Modern Europe","This course provides an overview of European History from approximately 1500 to 2000. It discusses politics,
economics and the sacred in the Renaissance and Reformation; the French Revolution; the Industrial Revolution;
the creation of national identities and states; the First World War; the inter-war period; World War II; the post-
war Soviet Bloc, and Western Europe in the post-war era. Instruction is via reading, class presentations and both
teacher- and student-led discussions and the study of documentaries and podcasts. The key concerns of these
different activities are to facilitate the in-depth exploration of important problems in modern European history and
to encourage the intellectual development of each student.","<p>Upon completion of this course, students will be able to:</p><ul><li>Identify the outline historical ‘facts’ that have defined Europe from the Renaissance to the twenty-first century;</li><li>Describe decisive political, economic, social and political forces which have shaped modern Europe;</li><li>Reflect on knowledge gained in terms of alternative interpretations/explanations and students own experiences/understanding of the world;</li><li>Analyse and contextualise historical developments in European history, identifying patterns and continuities in addition to changes;</li><li>Offer evaluations of European history based on critical thinking and an understanding of historical methodology and the use of primary and secondary sources.</li></ul>","HIS122","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2024/25 Fall Term"
